initials,age,binary sex (F/M),time,word,competitiveness
SK,34,F,3.8392018329759594,kat,1
SK,34,F,1.6663592089898884,hund,1
SK,34,F,1.8162222909741104,høne,1
SK,34,F,4.1831375830224715,rådyr,1
SK,34,F,1.4375911249953788,løve,1
SK,34,F,5.028225417016074,ørn,1
SK,34,F,3.8163082910177764,slange,1
SK,34,F,3.649582208978245,giraf,1
SK,34,F,1.8709192910173442,hest,1
SK,34,F,2.3617544999870006,los,1
SK,34,F,2.4497087500058115,ulv,1
SK,34,F,3.5995584999909624,panda,1
SK,34,F,2.704744957998628,bjørn,1
SK,34,F,9.243721333012218,ko,1
SK,34,F,1.6723644169978797,gris,1
